duration,avgw
214,7.727144181
211,7.662245891
204,7.519441943
207,7.505574042
220,7.47061875
200,7.457080434
219,7.444252072
206,7.427807615
216,7.418986784
185,7.371758299
193,7.358763432
191,7.355401299
190,7.346458936
199,7.340316321
203,7.287032449
209,7.277545008
201,7.2505004
189,7.238395853
208,7.236917796
183,7.213020001
198,7.191939432
192,7.144311532
212,7.120187871
195,7.107077393
217,7.101943113
196,7.09927315
210,7.083598512
179,7.078129818
181,7.076872312
182,7.07009692
197,7.0235443
213,7.014011796
171,7.010402109
175,6.999750855
178,6.991109244
187,6.983658752
174,6.968355113
202,6.950752462
194,6.918993722
177,6.904409646
180,6.876940645
169,6.84680305
176,6.844750724
184,6.825341738
166,6.80421368
188,6.802940571
167,6.759231246
170,6.751136392
163,6.739002592
165,6.725284729
164,6.71703323
168,6.70382288
158,6.667207777
172,6.644287964
205,6.640528099
186,6.591631053
162,6.559031227
173,6.496306836
160,6.495047043
157,6.480843642
153,6.471185471
154,6.453217948
159,6.420405258
156,6.400751266
221,6.399500903
155,6.398251948
218,6.347106675
151,6.290904113
150,6.282894825
152,6.2724761
222,6.259222495
161,6.231250767
147,6.22788143
148,6.149293508
144,6.145757864
145,6.143621026
143,6.058844045
149,6.057367783
141,6.005059937
142,5.97737686
140,5.967106896
146,5.928989173
137,5.893720687
133,5.863726631
136,5.847831872
139,5.844513171
138,5.840651368
135,5.825297583
134,5.813270386
130,5.664708741
129,5.638632431
132,5.592917007
128,5.566678536
125,5.562366069
131,5.488125611
126,5.486497276
127,5.463572313
123,5.396272141
121,5.37389015
124,5.36807426
223,5.364292722
120,5.336386638
119,5.322395419
224,5.308537078
122,5.268509255
215,5.239989123
118,5.206526072
117,5.142059103
116,5.134264633
115,5.065290516
114,5.061650286
113,5.059770725
112,5.000497398
111,4.906497403
108,4.885939824
109,4.844208744
107,4.833597273
106,4.822013906
110,4.774847095
105,4.731300332
104,4.711812215
103,4.646639731
102,4.593815265
101,4.509643637
100,4.50308626
99,4.449531623
97,4.377410482
98,4.319527935
96,4.304344169
95,4.24158545
94,4.180792118
93,4.173455843
92,4.145158573
91,4.111440512
90,4.110363921
89,4.051651464
87,3.982180631
324,3.963464042
88,3.925552658
233,3.91888326
85,3.896109886
86,3.893952029
76,3.849787129
83,3.838725721
84,3.819961014
82,3.785836051
75,3.754193253
78,3.737946325
81,3.697828079
74,3.661563976
240,3.622636264
80,3.601806558
225,3.599600403
77,3.59876793
79,3.551954365
72,3.545433493
232,3.533149815
68,3.522740408
73,3.517795751
229,3.459939961
226,3.44664599
309,3.415941757
71,3.389009987
64,3.330133484
231,3.328406032
268,3.245724451
348,3.226193145
228,3.219408963
237,3.202306533
69,3.195199633
66,3.159704771
67,3.139695194
322,3.097724379
243,3.096855323
70,3.084167734
234,3.061717704
266,3.053528983
257,3.03852931
321,3.026430625
65,3.022292313
250,3.022145126
286,3.021421891
63,3.00857388
227,3.00438339
246,2.916905688
