duration,c
2,66
3,12
5,6
6,20
7,1552
8,44
9,1989
10,264145
11,312110
12,281364
13,264353
14,242927
15,242812
16,209780
17,190785
18,169077
19,190776
20,159342
21,72146
22,56224
23,59099
24,59302
25,57193
26,54401
27,48199
28,36825
29,49629
30,42902
31,29579
32,23430
33,21520
34,22603
35,26998
36,22161
37,22811
38,16748
39,21960
40,28115
41,20762
42,19817
43,26310
44,30901
45,20362
46,15652
47,14722
48,12823
49,11573
50,15578
51,11674
52,9188
53,10712
54,15173
55,10780
56,13701
57,13517
58,15215
59,15503
60,10188
61,10463
62,6222
63,9902
64,11583
65,13248
66,7376
67,9692
68,13782
69,9844
70,12685
71,9252
72,9206
73,10180
74,13517
75,12586
76,26765
77,20416
78,32582
79,46221
80,31050
81,28350
82,28456
83,31022
84,31224
85,28845
86,33429
87,50858
88,47071
89,41582
90,40510
91,43249
92,48722
93,32809
94,39489
95,29025
96,31847
97,43648
98,34825
99,36154
100,27601
101,33665
102,49214
103,36773
104,61021
105,46560
106,47718
107,65048
108,46903
109,41200
110,53877
111,42298
112,34771
113,43506
114,44887
115,50499
116,62324
117,42243
118,42003
119,41169
120,34573
121,40912
122,45236
123,32604
124,43671
125,37073
126,37711
127,32807
128,35551
129,31740
130,34439
131,45666
132,37277
133,29194
134,25406
135,36352
136,43434
137,42077
138,28864
139,25828
140,27573
141,20283
142,19142
143,29433
144,27140
145,22529
146,33869
147,27315
148,26282
149,21013
150,30931
151,23866
152,29430
153,10607
154,22520
155,24951
156,16887
157,22677
158,13764
159,12351
160,16140
161,25388
162,18467
163,21524
164,31960
165,14654
166,25577
167,8295
168,18364
169,15622
170,12017
171,19079
172,14276
173,26491
174,18832
175,22746
176,10692
177,11957
178,32025
179,22839
180,18470
181,3590
182,4318
183,7965
184,11189
185,7622
186,13884
187,7241
188,9240
189,9251
190,24129
191,7504
192,6150
193,6748
194,10904
195,9832
196,4205
197,11291
198,3465
199,6761
200,12283
201,9332
202,9522
203,18376
204,4768
205,3234
206,3379
207,7533
208,3784
209,12634
210,15823
211,5083
212,4423
213,8949
214,4513
215,8963
216,14668
217,8262
218,5131
219,9799
220,8529
221,4770
222,2920
223,5677
224,7303
225,4012
226,3069
227,2685
228,6837
229,3716
230,5002
231,3697
232,4089
233,5660
234,2017
235,2950
236,3803
237,4132
238,5047
239,4077
240,3967
241,4379
242,5268
243,3878
244,4572
245,2788
246,4480
247,1368
248,2053
249,2223
250,1631
251,2399
252,2217
253,2017
254,1841
255,5655
256,1491
257,1492
258,1824
259,3882
260,1334
261,1860
262,2362
263,1699
264,1668
265,1362
266,2242
267,1753
268,313
269,1620
270,4026
271,889
272,2388
273,3637
274,931
275,2199
276,1043
277,530
278,2756
279,1688
280,1361
281,1987
282,554
283,633
284,418
285,1923
286,3378
287,4355
288,874
289,1082
290,1604
291,702
292,2592
293,804
294,1724
295,793
296,1059
297,10216
298,875
299,8197
300,1418
301,3503
302,611
303,1759
304,912
305,1980
306,1019
307,1871
308,231
309,1132
310,5397
311,1138
312,440
313,304
314,1411
315,1457
316,197
317,867
318,573
319,3594
320,472
321,556
322,461
323,1553
324,4461
325,298
326,484
327,938
328,295
329,373
330,99
331,795
332,228
333,1617
334,144
335,325
336,607
337,376
338,278
339,115
340,1180
341,309
342,420
343,228
344,688
345,518
346,699
347,419
348,1442
349,637
350,246
351,396
352,345
353,1448
354,657
355,1706
356,103
357,140
358,261
359,113
360,939
365,1
374,24
382,1
534,1
553,1
633,1
818,1
